constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5, 10], [9.0, 1.0, 300], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  3  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 3 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  6  7  8  9  
BanditTestBatch: numCases: 4
BanditTestBatch: maxim sum reward: 2149.0
BanditTestBatch: random reward: 1365.5
 Evals       Score          p01       p02       p03       case01    case02    case03    case04 
   255       75.06     6.802716  0.935363  61.630868        56.34     86.29     75.51     82.08 
   256       73.35     7.523036  0.864109  101.752607        56.34     79.45     75.49     82.11 
   257       74.60     7.129459  0.864840  61.079843        56.34     84.47     75.51     82.09 
   258       80.98     7.183872  0.926906  81.018640        56.34     85.49     99.99     82.12 
   259       80.73     7.185187  0.872283  69.064279        56.34     84.47    100.00     82.12 
   260       73.00     7.670956  0.825830  39.136524        56.34     78.07     75.49     82.10 
   261       81.35     6.342257  0.927855  96.039392        56.34     86.95    100.00     82.10 
   262       75.35     6.226254  0.949582  95.791574        56.34     87.45     75.51     82.10 
   263       81.10     6.481866  0.885026  96.535091        56.34     86.00     99.99     82.09 
   264       81.09     6.520996  0.893345  99.642962        56.34     86.07     99.98     81.96 
   265       74.95     6.927378  0.922825  76.991499        56.34     85.85     75.51     82.10 
   266       81.14     6.296757  0.872389  110.188107        56.34     86.15     99.98     82.09 
   267       75.13     6.239420  0.895806  125.559522        56.34     86.58     75.50     82.11 
   268       75.05     6.264273  0.876987  114.529076        56.34     86.29     75.49     82.08 
   269       75.30     5.759576  0.879001  119.684314        56.34     87.24     75.51     82.10 
